url,fd_level,n_words,n_users,vocab_entropy,modal_share,mean_pair_sim,top_word,top_word_n
images/FD12/FD_12_0.png,FD12,82,32,6.018839352047142,0.036585365853658534,0.28489257007837293,hand,3
images/FD12/FD_12_1.png,FD12,67,31,5.722513817194281,0.04477611940298507,0.2930200364999473,cave,3
images/FD12/FD_12_10.png,FD12,74,37,5.707839642942954,0.06756756756756757,0.2843948650918901,man,5
images/FD12/FD_12_11.png,FD12,66,29,5.790532187507492,0.045454545454545456,0.2882676348090172,mushroom,3
images/FD12/FD_12_12.png,FD12,64,38,5.445159765557392,0.09375,0.29315353352576495,elephant,6
images/FD12/FD_12_13.png,FD12,83,36,5.961008973797525,0.060240963855421686,0.27365787839517,snake,5
images/FD12/FD_12_14.png,FD12,76,42,5.80221300053665,0.06578947368421052,0.28136579690501096,woman,5
images/FD12/FD_12_15.png,FD12,61,34,5.274999632644851,0.13114754098360656,0.33381380803883076,dog,8
images/FD12/FD_12_16.png,FD12,53,29,5.449526350748794,0.05660377358490566,0.27665435837581753,man,3
images/FD12/FD_12_17.png,FD12,82,39,5.808533102073526,0.04878048780487805,0.2879646988213062,dinosaur,4
images/FD12/FD_12_18.png,FD12,70,33,5.5432894453927695,0.05714285714285714,0.30682635851204393,duck,4
images/FD12/FD_12_19.png,FD12,74,42,5.718040825404622,0.06756756756756757,0.28010851437225937,woman,5
images/FD12/FD_12_2.png,FD12,58,29,5.2500305653199835,0.1206896551724138,0.3055853293463588,kiss,7
images/FD12/FD_12_20.png,FD12,63,38,5.647837264735418,0.06349206349206349,0.2668418297264725,bat,4
images/FD12/FD_12_21.png,FD12,68,38,5.652026951920387,0.07352941176470588,0.2872080996260047,man,5
images/FD12/FD_12_22.png,FD12,52,28,5.056020968057884,0.11538461538461539,0.2751113487035036,man,6
images/FD12/FD_12_23.png,FD12,82,38,5.904876206096576,0.06097560975609756,0.3048908568173647,face,5
images/FD12/FD_12_24.png,FD12,69,31,5.38570847154734,0.07246376811594203,0.3248955424875021,face,5
images/FD12/FD_12_25.png,FD12,86,41,6.120861702301048,0.03488372093023256,0.27576691753230986,spitting,3
images/FD12/FD_12_26.png,FD12,65,30,5.7953695437644,0.046153846153846156,0.25351766956970095,tree,3
images/FD12/FD_12_27.png,FD12,79,37,5.980872203818535,0.05063291139240506,0.28394291991367937,man,4
images/FD12/FD_12_28.png,FD12,53,33,5.284339794104199,0.07547169811320754,0.3041605199873447,face,4
images/FD12/FD_12_29.png,FD12,85,46,5.603163583043809,0.1411764705882353,0.28267735466361044,woman,12
images/FD12/FD_12_3.png,FD12,56,30,5.235926350629033,0.07142857142857142,0.29792290295474233,man,4
images/FD12/FD_12_30.png,FD12,95,49,5.462894982449578,0.08421052631578947,0.3435346920415759,bear,8
images/FD12/FD_12_31.png,FD12,66,36,5.372204301531176,0.07575757575757576,0.3275753066688776,face,5
images/FD12/FD_12_32.png,FD12,65,35,5.277654398312045,0.1076923076923077,0.2835740737896413,grenade,7
images/FD12/FD_12_33.png,FD12,74,38,5.48804690636876,0.06756756756756757,0.2938120390661061,dog,5
images/FD12/FD_12_34.png,FD12,101,47,6.014709319784557,0.04950495049504951,0.31057969633489846,fish,5
images/FD12/FD_12_35.png,FD12,74,43,5.540402352056963,0.10810810810810811,0.29265980343334375,alien,8
images/FD12/FD_12_36.png,FD12,71,33,5.732709929723883,0.07042253521126761,0.2794560094736516,vase,5
images/FD12/FD_12_37.png,FD12,75,32,5.978753523800368,0.04,0.25757600251585244,head,3
images/FD12/FD_12_38.png,FD12,63,33,5.6598196060395995,0.06349206349206349,0.2634874433092773,lake,4
images/FD12/FD_12_39.png,FD12,56,28,5.458966082694625,0.05357142857142857,0.3004482465982437,face,3
images/FD12/FD_12_4.png,FD12,54,34,5.1257362345516695,0.09259259259259259,0.31587269227951764,penis,5
images/FD12/FD_12_40.png,FD12,81,38,6.073064318015037,0.06172839506172839,0.26405338538810613,face,5
images/FD12/FD_12_41.png,FD12,76,38,5.964904158123495,0.039473684210526314,0.24917880312539636,face,3
images/FD12/FD_12_42.png,FD12,84,37,6.0070254230573275,0.05952380952380952,0.26483754551038147,cave,5
images/FD12/FD_12_43.png,FD12,88,44,5.567052925307971,0.09090909090909091,0.29117360737174747,face,8
images/FD12/FD_12_44.png,FD12,70,36,5.6435687312306815,0.11428571428571428,0.2667123758047819,man,8
images/FD12/FD_12_45.png,FD12,58,32,5.16204085759998,0.08620689655172414,0.2972649756073952,hippo,5
images/FD12/FD_12_46.png,FD12,61,36,5.078701789185228,0.16393442622950818,0.3045463159121573,bear,10
images/FD12/FD_12_47.png,FD12,57,30,5.060017245655789,0.19298245614035087,0.30027095197699966,woman,11
images/FD12/FD_12_48.png,FD12,79,42,5.730855116166471,0.08860759493670886,0.2980747337732464,woman,7
images/FD12/FD_12_49.png,FD12,78,42,5.650992687383225,0.0641025641025641,0.278541218880564,man,5
images/FD12/FD_12_5.png,FD12,89,42,6.013717526710625,0.056179775280898875,0.28370254013687374,stomach,5
images/FD12/FD_12_50.png,FD12,67,35,5.722513817194281,0.04477611940298507,0.2631683756643906,man,3
images/FD12/FD_12_51.png,FD12,79,39,5.809862393637182,0.05063291139240506,0.27768451316282156,alien,4
images/FD12/FD_12_52.png,FD12,70,33,5.35729587384057,0.12857142857142856,0.3040910364314914,face,9
images/FD12/FD_12_53.png,FD12,83,42,5.874921660210456,0.04819277108433735,0.29163347752764823,kiss,4
images/FD12/FD_12_54.png,FD12,72,43,5.666249133296613,0.08333333333333333,0.2945748882740736,pig,6
images/FD12/FD_12_55.png,FD12,64,32,5.650554250365621,0.078125,0.2736674711108208,face,5
images/FD12/FD_12_56.png,FD12,52,31,5.400254324401924,0.09615384615384616,0.28444906819611787,face,5
images/FD12/FD_12_57.png,FD12,58,36,5.180666986245773,0.15517241379310345,0.30209006620571016,lion,9
images/FD12/FD_12_58.png,FD12,71,36,5.600175992622233,0.08450704225352113,0.28749441861175,face,6
images/FD12/FD_12_59.png,FD12,64,37,5.53125,0.0625,0.27388825685717166,faces,4
images/FD12/FD_12_6.png,FD12,60,40,5.1188203870227795,0.15,0.2897485168464482,australia,9
images/FD12/FD_12_60.png,FD12,70,40,5.622000516883153,0.08571428571428572,0.28378724930807947,cross,6
images/FD12/FD_12_61.png,FD12,67,38,5.237585085915578,0.11940298507462686,0.2791838022135198,man,8
images/FD12/FD_12_62.png,FD12,71,33,5.896225992744117,0.028169014084507043,0.2639937786012888,face,2
images/FD12/FD_12_63.png,FD12,117,53,6.082219425493108,0.08547008547008547,0.276617273259908,woman,10
images/FD12/FD_12_64.png,FD12,103,39,5.982807266234545,0.06796116504854369,0.30142369838431476,face,7
images/FD12/FD_12_65.png,FD12,65,31,5.31507291378173,0.07692307692307693,0.29797984804958105,man,5
images/FD12/FD_12_66.png,FD12,37,21,4.972834784489398,0.08108108108108109,0.3188723538443446,face,3
images/FD12/FD_12_67.png,FD12,67,35,5.543409339582341,0.08955223880597014,0.2817254460975528,uterus,6
images/FD12/FD_12_68.png,FD12,73,34,5.795921990357231,0.0547945205479452,0.2751976565271616,woman,4
images/FD12/FD_12_69.png,FD12,76,38,5.45365740848832,0.10526315789473684,0.3208505192585289,elephant,8
images/FD12/FD_12_7.png,FD12,63,32,5.552599169497322,0.06349206349206349,0.29091793324798343,handshake,4
images/FD12/FD_12_70.png,FD12,84,37,5.853494506959235,0.08333333333333333,0.2659232291020453,face,7
images/FD12/FD_12_71.png,FD12,73,39,5.751468394496456,0.0547945205479452,0.27712042544968424,face,4
images/FD12/FD_12_72.png,FD12,77,37,5.564980046963633,0.07792207792207792,0.29572550505399703,dragon,6
images/FD12/FD_12_73.png,FD12,60,33,5.181727678869736,0.1,0.30198844281956555,dog,6
images/FD12/FD_12_74.png,FD12,65,35,5.627729590653019,0.1076923076923077,0.3089622188359499,dog,7
images/FD12/FD_12_75.png,FD12,69,37,5.6299802537542,0.08695652173913043,0.28360445911064747,man,6
images/FD12/FD_12_76.png,FD12,73,37,5.432506579220508,0.0821917808219178,0.28780071350745856,ghost,6
images/FD12/FD_12_77.png,FD12,68,39,5.352548599323324,0.07352941176470588,0.30950898203998806,woman,5
images/FD12/FD_12_78.png,FD12,54,32,5.55572291879007,0.05555555555555555,0.2837744107656181,man,3
images/FD12/FD_12_79.png,FD12,72,34,5.638471355518835,0.08333333333333333,0.2409886403568089,man,6
images/FD12/FD_12_8.png,FD12,91,39,5.92225384332898,0.0989010989010989,0.2987247435003519,dog,9
images/FD12/FD_12_80.png,FD12,82,39,5.8605411814209685,0.04878048780487805,0.2945804270170629,man,4
images/FD12/FD_12_81.png,FD12,67,37,5.6202040713394545,0.07462686567164178,0.2914083920046687,face,5
images/FD12/FD_12_82.png,FD12,84,38,5.92661009565062,0.05952380952380952,0.3212929963320494,bear,5
images/FD12/FD_12_83.png,FD12,70,38,5.528724445269141,0.12857142857142856,0.2827784733846784,man,9
images/FD12/FD_12_84.png,FD12,56,30,5.521640636343319,0.07142857142857142,0.2844728899747133,snake,4
images/FD12/FD_12_85.png,FD12,66,33,5.225969688585675,0.10606060606060606,0.31234817193821074,face,7
images/FD12/FD_12_86.png,FD12,75,37,5.563827984083519,0.06666666666666667,0.28358711119741203,mountain,5
images/FD12/FD_12_87.png,FD12,72,41,5.499582466629947,0.08333333333333333,0.29628163786605,man,6
images/FD12/FD_12_88.png,FD12,78,37,5.697270129363185,0.07692307692307693,0.2738064206857234,fish,6
images/FD12/FD_12_89.png,FD12,71,44,5.5544701827935485,0.08450704225352113,0.29280433420091867,woman,6
images/FD12/FD_12_9.png,FD12,90,42,5.933356846257559,0.06666666666666667,0.29981252152472737,woman,6
images/FD12/FD_12_90.png,FD12,55,30,5.1654632956896185,0.10909090909090909,0.27507433837279677,face,6
images/FD12/FD_12_91.png,FD12,69,34,5.435968341465608,0.10144927536231885,0.30211320517584683,face,7
images/FD12/FD_12_92.png,FD12,81,38,5.926149076905281,0.04938271604938271,0.2864015095680952,dog,4
images/FD12/FD_12_93.png,FD12,76,34,5.891093099249327,0.06578947368421052,0.2761990423966199,dinosaur,5
images/FD12/FD_12_94.png,FD12,75,35,5.514367904822897,0.06666666666666667,0.2745341409742832,dog,5
images/FD12/FD_12_95.png,FD12,72,37,5.798329341690044,0.05555555555555555,0.2802565470058471,dog,4
images/FD12/FD_12_96.png,FD12,83,42,5.985105359339693,0.060240963855421686,0.2934979153238237,boy,5
images/FD12/FD_12_97.png,FD12,93,40,5.926045370154766,0.06451612903225806,0.30266602462157605,wolf,6
images/FD12/FD_12_98.png,FD12,79,39,5.904922836729927,0.05063291139240506,0.2951658533141017,face,4
images/FD12/FD_12_99.png,FD12,47,21,5.155548692057141,0.0851063829787234,0.2728556881658733,bear,4
images/FD14/FD_14_0.png,FD14,55,27,5.353909258900533,0.07272727272727272,0.3056608192529529,face,4
images/FD14/FD_14_1.png,FD14,79,38,5.697776912975494,0.06329113924050633,0.3071109010255896,hand,5
images/FD14/FD_14_10.png,FD14,69,31,5.702727355328894,0.057971014492753624,0.28167179234325884,face,4
images/FD14/FD_14_11.png,FD14,75,36,5.958623190409342,0.04,0.2807117988169193,heart,3
images/FD14/FD_14_12.png,FD14,96,43,6.282675521464346,0.03125,0.2693339205440134,mask,3
images/FD14/FD_14_13.png,FD14,85,41,5.713868401093422,0.07058823529411765,0.2968483566120267,carrot,6
images/FD14/FD_14_14.png,FD14,65,34,5.752986659115731,0.046153846153846156,0.26965917826164515,woman,3
images/FD14/FD_14_15.png,FD14,52,29,5.33976880463795,0.07692307692307693,0.3161765434965491,woman,4
images/FD14/FD_14_16.png,FD14,58,34,5.534620865779925,0.05172413793103448,0.2938055066391826,man,3
images/FD14/FD_14_17.png,FD14,77,38,5.987438813365982,0.03896103896103896,0.2868244485370815,cat,3
images/FD14/FD_14_18.png,FD14,79,33,5.781488027558875,0.08860759493670886,0.28227694099768996,man,7
images/FD14/FD_14_19.png,FD14,61,36,5.543694051096708,0.08196721311475409,0.3029565872065723,face,5
images/FD14/FD_14_2.png,FD14,57,31,5.52394895320971,0.08771929824561403,0.2658584740757942,chef,5
images/FD14/FD_14_20.png,FD14,55,29,5.463000167991441,0.05454545454545454,0.2836292864196002,heart,3
images/FD14/FD_14_21.png,FD14,50,31,5.228758439731456,0.08,0.3061113075353205,dog,4
images/FD14/FD_14_22.png,FD14,70,34,5.706288153024441,0.07142857142857142,0.282472608173266,man,5
images/FD14/FD_14_23.png,FD14,52,31,5.416691881561027,0.07692307692307693,0.27931145108304917,man,4
images/FD14/FD_14_24.png,FD14,71,36,5.431161908115191,0.16901408450704225,0.3087505734153092,dog,12
images/FD14/FD_14_25.png,FD14,63,35,5.548398177330808,0.047619047619047616,0.29002715460956097,horse,3
images/FD14/FD_14_26.png,FD14,89,41,6.107700987121865,0.0449438202247191,0.2697441492974758,wrench,4
images/FD14/FD_14_27.png,FD14,57,28,5.644207777284681,0.05263157894736842,0.2671096469182521,island,3
images/FD14/FD_14_28.png,FD14,69,37,5.680846558164736,0.08695652173913043,0.31070675859227775,face,6
images/FD14/FD_14_29.png,FD14,72,31,5.65437756423726,0.06944444444444445,0.2883219435578212,leg,5
images/FD14/FD_14_3.png,FD14,52,30,5.455153420022565,0.057692307692307696,0.2814392949640751,man,3
images/FD14/FD_14_30.png,FD14,58,33,5.569103624400614,0.06896551724137931,0.2977968731895089,face,4
images/FD14/FD_14_31.png,FD14,69,32,5.9236710147178275,0.043478260869565216,0.2660240779072046,alien,3
images/FD14/FD_14_32.png,FD14,64,31,5.788909765557392,0.046875,0.2706222511827946,dog,3
images/FD14/FD_14_33.png,FD14,64,30,5.75,0.03125,0.2860481353290379,person,2
images/FD14/FD_14_34.png,FD14,78,41,5.411825738254331,0.15384615384615385,0.3271574161481112,rabbit,12
images/FD14/FD_14_35.png,FD14,75,42,5.82528985707601,0.08,0.28606727823615075,face,6
images/FD14/FD_14_36.png,FD14,47,26,5.41086784099331,0.06382978723404255,0.276776561755687,capybara,3
images/FD14/FD_14_37.png,FD14,70,40,5.6613560526283475,0.05714285714285714,0.3070917216129601,frog,4
images/FD14/FD_14_38.png,FD14,55,34,5.499363804355078,0.05454545454545454,0.2883168582618236,face,3
images/FD14/FD_14_39.png,FD14,63,32,5.806567423465575,0.047619047619047616,0.27328808782622216,australia,3
images/FD14/FD_14_4.png,FD14,78,40,5.701943564960623,0.05128205128205128,0.3015502035059035,europe,4
images/FD14/FD_14_40.png,FD14,68,34,5.870479201512644,0.04411764705882353,0.2660452163685113,face,3
images/FD14/FD_14_41.png,FD14,71,37,5.568279337601242,0.1267605633802817,0.2739129672944546,pig,9
images/FD14/FD_14_42.png,FD14,62,34,5.760647923290099,0.03225806451612903,0.27547600902616975,head,2
images/FD14/FD_14_43.png,FD14,72,39,5.34237209969962,0.1388888888888889,0.3135100217163563,dog,10
images/FD14/FD_14_44.png,FD14,66,32,5.767656808654053,0.045454545454545456,0.280224107420072,shoe,3
images/FD14/FD_14_45.png,FD14,71,35,5.628345006706739,0.056338028169014086,0.2976085327938199,bear,4
images/FD14/FD_14_46.png,FD14,85,46,5.729691671304557,0.09411764705882353,0.31227747013792395,bird,8
images/FD14/FD_14_47.png,FD14,91,40,5.80077599813675,0.10989010989010989,0.2965384128689766,dog,10
images/FD14/FD_14_48.png,FD14,66,36,5.7299261269014305,0.06060606060606061,0.28862916469573974,head,4
images/FD14/FD_14_49.png,FD14,76,42,5.8056954019378395,0.06578947368421052,0.31507900895550844,face,5
images/FD14/FD_14_5.png,FD14,90,41,6.077840597120341,0.07777777777777778,0.29126120571047065,face,7
images/FD14/FD_14_50.png,FD14,72,39,5.586950439622353,0.06944444444444445,0.3010081022977829,dog,5
images/FD14/FD_14_51.png,FD14,75,33,5.915355023771522,0.04,0.27146315267309545,fish,3
images/FD14/FD_14_52.png,FD14,82,37,6.110421974051128,0.036585365853658534,0.2615507913380861,seahorse,3
